Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalHoursAsleep,TotalTimeInBed,TimeAwakeInBed,HealthySleep
3977333714,4/15/2016,1,424,7.066666667,556,132,TRUE
3977333714,4/16/2016,1,283,4.716666667,510,227,FALSE
3977333714,4/17/2016,1,381,6.35,566,185,FALSE
3977333714,4/18/2016,2,412,6.866666667,522,110,FALSE
3977333714,4/19/2016,1,219,3.65,395,176,FALSE
3977333714,4/20/2016,2,152,2.533333333,305,153,FALSE
3977333714,4/21/2016,1,332,5.533333333,512,180,FALSE
3977333714,4/22/2016,1,355,5.916666667,476,121,FALSE
3977333714,4/23/2016,1,235,3.916666667,372,137,FALSE
3977333714,4/24/2016,1,310,5.166666667,526,216,FALSE
3977333714,4/25/2016,1,262,4.366666667,467,205,FALSE
3977333714,4/26/2016,1,250,4.166666667,371,121,FALSE
3977333714,4/27/2016,1,349,5.816666667,540,191,FALSE
3977333714,4/28/2016,1,261,4.35,423,162,FALSE
3977333714,4/29/2016,1,333,5.55,478,145,FALSE
3977333714,4/30/2016,1,237,3.95,382,145,FALSE
3977333714,5/1/2016 ,1,383,6.383333333,626,243,FALSE
3977333714,5/2/2016 ,1,230,3.833333333,384,154,FALSE
3977333714,5/3/2016 ,1,292,4.866666667,500,208,FALSE
3977333714,5/4/2016 ,1,213,3.55,336,123,FALSE
3977333714,5/5/2016 ,1,318,5.3,480,162,FALSE
3977333714,5/6/2016 ,1,323,5.383333333,512,189,FALSE
3977333714,5/7/2016 ,1,237,3.95,443,206,FALSE
3977333714,5/8/2016 ,2,259,4.316666667,456,197,FALSE
3977333714,5/10/2016,1,312,5.2,452,140,FALSE
4020332650,4/12/2016,1,501,8.35,541,40,TRUE
4020332650,4/16/2016,1,77,1.283333333,77,0,FALSE
4020332650,5/3/2016 ,1,322,5.366666667,332,10,FALSE
4020332650,5/4/2016 ,1,478,7.966666667,536,58,TRUE
4020332650,5/5/2016 ,1,226,3.766666667,248,22,FALSE
4020332650,5/6/2016 ,1,385,6.416666667,408,23,FALSE
4020332650,5/8/2016 ,1,364,6.066666667,402,38,FALSE
4020332650,5/10/2016,1,442,7.366666667,494,52,TRUE
4319703577,4/14/2016,1,535,8.916666667,557,22,TRUE
4319703577,4/15/2016,1,465,7.75,491,26,TRUE
4319703577,4/16/2016,1,506,8.433333333,522,16,TRUE
4319703577,4/18/2016,1,515,8.583333333,551,36,TRUE
4319703577,4/19/2016,2,461,7.683333333,498,37,TRUE
4319703577,4/20/2016,1,523,8.716666667,543,20,TRUE
4319703577,4/21/2016,1,59,0.9833333333,65,6,FALSE
4319703577,4/22/2016,1,533,8.883333333,550,17,TRUE
4319703577,4/23/2016,1,692,11.53333333,722,30,FALSE
4319703577,4/24/2016,1,467,7.783333333,501,34,TRUE
4319703577,4/25/2016,1,488,8.133333333,506,18,TRUE
4319703577,4/26/2016,1,505,8.416666667,516,11,TRUE
4319703577,4/27/2016,1,286,4.766666667,307,21,FALSE
4319703577,4/28/2016,1,497,8.283333333,522,25,TRUE
4319703577,4/29/2016,1,523,8.716666667,546,23,TRUE
4319703577,4/30/2016,1,490,8.166666667,516,26,TRUE
4319703577,5/1/2016 ,1,484,8.066666667,500,16,TRUE
4319703577,5/2/2016 ,1,478,7.966666667,506,28,TRUE
4319703577,5/3/2016 ,1,474,7.9,512,38,TRUE
4319703577,5/6/2016 ,1,450,7.5,491,41,TRUE
4319703577,5/7/2016 ,1,507,8.45,530,23,TRUE
4319703577,5/8/2016 ,1,602,10.03333333,638,36,FALSE
4319703577,5/9/2016 ,1,535,8.916666667,565,30,TRUE
4319703577,5/10/2016,1,487,8.116666667,517,30,TRUE
4319703577,5/11/2016,1,529,8.816666667,558,29,TRUE
4319703577,5/12/2016,1,302,5.033333333,321,19,FALSE
4388161847,4/15/2016,1,499,8.316666667,526,27,TRUE
4388161847,4/16/2016,2,426,7.1,448,22,TRUE
4388161847,4/17/2016,2,619,10.31666667,641,22,FALSE
4388161847,4/18/2016,1,99,1.65,104,5,FALSE
4388161847,4/19/2016,1,329,5.483333333,338,9,FALSE
4388161847,4/20/2016,1,421,7.016666667,451,30,TRUE
4388161847,4/21/2016,1,442,7.366666667,458,16,TRUE
4388161847,4/22/2016,1,82,1.366666667,85,3,FALSE
4388161847,4/23/2016,1,478,7.966666667,501,23,TRUE
4388161847,4/24/2016,3,552,9.2,595,43,FALSE
4388161847,4/26/2016,1,319,5.316666667,346,27,FALSE
4388161847,4/27/2016,1,439,7.316666667,500,61,TRUE
4388161847,4/28/2016,1,428,7.133333333,458,30,TRUE
4388161847,4/30/2016,2,409,6.816666667,430,21,FALSE
4388161847,5/1/2016 ,1,547,9.116666667,597,50,FALSE
4388161847,5/2/2016 ,2,368,6.133333333,376,8,FALSE
4388161847,5/4/2016 ,1,390,6.5,414,24,FALSE
4388161847,5/5/2016 ,1,471,7.85,495,24,TRUE
4388161847,5/5/2016 ,1,471,7.85,495,24,TRUE
4388161847,5/7/2016 ,1,472,7.866666667,496,24,TRUE
4388161847,5/8/2016 ,2,529,8.816666667,541,12,TRUE
4388161847,5/9/2016 ,1,62,1.033333333,65,3,FALSE
4388161847,5/10/2016,1,354,5.9,375,21,FALSE
4388161847,5/11/2016,1,469,7.816666667,494,25,TRUE
4445114986,4/12/2016,2,429,7.15,457,28,TRUE
4445114986,4/13/2016,2,370,6.166666667,406,36,FALSE
4445114986,4/14/2016,1,441,7.35,492,51,TRUE
4445114986,4/15/2016,2,337,5.616666667,379,42,FALSE
4445114986,4/16/2016,1,462,7.7,499,37,TRUE
4445114986,4/17/2016,1,98,1.633333333,107,9,FALSE
4445114986,4/19/2016,2,388,6.466666667,424,36,FALSE
4445114986,4/20/2016,1,439,7.316666667,462,23,TRUE
4445114986,4/21/2016,1,436,7.266666667,469,33,TRUE
4445114986,4/22/2016,1,388,6.466666667,417,29,FALSE
4445114986,4/25/2016,1,328,5.466666667,345,17,FALSE
4445114986,4/26/2016,2,353,5.883333333,391,38,FALSE
4445114986,4/27/2016,1,332,5.533333333,374,42,FALSE
4445114986,4/28/2016,1,419,6.983333333,442,23,FALSE
4445114986,4/29/2016,1,106,1.766666667,108,2,FALSE
4445114986,4/30/2016,1,322,5.366666667,353,31,FALSE
4445114986,5/1/2016 ,2,439,7.316666667,459,20,TRUE
4445114986,5/2/2016 ,1,502,8.366666667,542,40,TRUE
4445114986,5/3/2016 ,2,417,6.95,450,33,FALSE
4445114986,5/4/2016 ,2,337,5.616666667,363,26,FALSE
4445114986,5/5/2016 ,2,462,7.7,513,51,TRUE
4445114986,5/6/2016 ,2,374,6.233333333,402,28,FALSE
4445114986,5/7/2016 ,2,401,6.683333333,436,35,FALSE
4445114986,5/8/2016 ,1,361,6.016666667,391,30,FALSE
4445114986,5/9/2016 ,1,457,7.616666667,533,76,TRUE
4445114986,5/10/2016,1,405,6.75,426,21,FALSE
4445114986,5/11/2016,1,499,8.316666667,530,31,TRUE
4445114986,5/12/2016,1,483,8.05,501,18,TRUE
4558609924,4/21/2016,1,126,2.1,137,11,FALSE
4558609924,4/26/2016,1,103,1.716666667,121,18,FALSE
4558609924,4/29/2016,1,171,2.85,179,8,FALSE
4558609924,5/1/2016 ,1,115,1.916666667,129,14,FALSE
4558609924,5/8/2016 ,1,123,2.05,134,11,FALSE
4702921684,4/12/2016,1,425,7.083333333,439,14,TRUE
4702921684,4/13/2016,2,400,6.666666667,430,30,FALSE
4702921684,4/14/2016,1,384,6.4,415,31,FALSE
4702921684,4/15/2016,1,253,4.216666667,257,4,FALSE
4702921684,4/16/2016,2,382,6.366666667,406,24,FALSE
4702921684,4/17/2016,1,591,9.85,612,21,FALSE
4702921684,4/18/2016,1,293,4.883333333,312,19,FALSE
4702921684,4/19/2016,1,457,7.616666667,487,30,TRUE
4702921684,4/20/2016,1,454,7.566666667,468,14,TRUE
4702921684,4/21/2016,1,425,7.083333333,434,9,TRUE
4702921684,4/23/2016,1,465,7.75,475,10,TRUE
4702921684,4/24/2016,1,480,8,506,26,TRUE
4702921684,4/25/2016,1,370,6.166666667,380,10,FALSE
4702921684,4/26/2016,1,421,7.016666667,429,8,TRUE
4702921684,4/27/2016,1,432,7.2,449,17,TRUE
4702921684,4/28/2016,1,442,7.366666667,461,19,TRUE
4702921684,4/29/2016,1,433,7.216666667,447,14,TRUE
4702921684,4/30/2016,1,479,7.983333333,501,22,TRUE
4702921684,5/3/2016 ,1,327,5.45,373,46,FALSE
4702921684,5/4/2016 ,1,412,6.866666667,434,22,FALSE
4702921684,5/5/2016 ,1,414,6.9,428,14,FALSE
4702921684,5/6/2016 ,1,404,6.733333333,449,45,FALSE
4702921684,5/7/2016 ,1,520,8.666666667,543,23,TRUE
4702921684,5/7/2016 ,1,520,8.666666667,543,23,TRUE
4702921684,5/9/2016 ,1,435,7.25,458,23,TRUE
4702921684,5/10/2016,1,416,6.933333333,431,15,FALSE
4702921684,5/11/2016,1,354,5.9,366,12,FALSE
4702921684,5/12/2016,1,404,6.733333333,442,38,FALSE
5553957443,4/12/2016,1,441,7.35,464,23,TRUE
5553957443,4/13/2016,2,455,7.583333333,488,33,TRUE
5553957443,4/14/2016,1,357,5.95,418,61,FALSE
5553957443,4/15/2016,1,377,6.283333333,409,32,FALSE
5553957443,4/16/2016,2,651,10.85,686,35,FALSE
5553957443,4/17/2016,1,350,5.833333333,402,52,FALSE
5553957443,4/18/2016,2,520,8.666666667,541,21,TRUE
5553957443,4/19/2016,1,357,5.95,410,53,FALSE
5553957443,4/20/2016,1,658,10.96666667,678,20,FALSE
5553957443,4/21/2016,1,399,6.65,431,32,FALSE
5553957443,4/22/2016,1,322,5.366666667,353,31,FALSE
5553957443,4/23/2016,2,631,10.51666667,725,94,FALSE
5553957443,4/24/2016,2,553,9.216666667,640,87,FALSE
5553957443,4/25/2016,1,433,7.216666667,468,35,TRUE
5553957443,4/26/2016,1,412,6.866666667,453,41,FALSE
5553957443,4/27/2016,1,347,5.783333333,391,44,FALSE
5553957443,4/28/2016,1,421,7.016666667,457,36,TRUE
5553957443,4/29/2016,1,450,7.5,495,45,TRUE
5553957443,4/30/2016,2,775,12.91666667,843,68,FALSE
5553957443,5/1/2016 ,2,622,10.36666667,686,64,FALSE
5553957443,5/2/2016 ,1,409,6.816666667,471,62,FALSE
5553957443,5/3/2016 ,1,380,6.333333333,429,49,FALSE
5553957443,5/4/2016 ,1,447,7.45,470,23,TRUE
5553957443,5/5/2016 ,1,419,6.983333333,464,45,FALSE
5553957443,5/6/2016 ,1,400,6.666666667,434,34,FALSE
5553957443,5/7/2016 ,1,442,7.366666667,470,28,TRUE
5553957443,5/8/2016 ,1,568,9.466666667,608,40,FALSE
5553957443,5/9/2016 ,1,453,7.55,494,41,TRUE
5553957443,5/10/2016,1,418,6.966666667,443,25,FALSE
5553957443,5/11/2016,1,463,7.716666667,486,23,TRUE
5553957443,5/12/2016,1,438,7.3,475,37,TRUE
5577150313,4/12/2016,1,419,6.983333333,438,19,FALSE
5577150313,4/13/2016,1,432,7.2,458,26,TRUE
5577150313,4/14/2016,1,477,7.95,497,20,TRUE
5577150313,4/15/2016,1,392,6.533333333,413,21,FALSE
5577150313,4/16/2016,1,406,6.766666667,445,39,FALSE
5577150313,4/17/2016,1,549,9.15,583,34,FALSE
5577150313,4/18/2016,1,527,8.783333333,553,26,TRUE
5577150313,4/19/2016,1,449,7.483333333,465,16,TRUE
5577150313,4/20/2016,1,447,7.45,480,33,TRUE
5577150313,4/21/2016,1,414,6.9,437,23,FALSE
5577150313,4/22/2016,1,338,5.633333333,366,28,FALSE
5577150313,4/23/2016,1,384,6.4,402,18,FALSE
5577150313,4/24/2016,1,543,9.05,615,72,FALSE
5577150313,4/25/2016,1,421,7.016666667,461,40,TRUE
5577150313,4/26/2016,1,354,5.9,377,23,FALSE
5577150313,4/27/2016,1,424,7.066666667,452,28,TRUE
5577150313,4/28/2016,1,361,6.016666667,372,11,FALSE
5577150313,4/29/2016,1,459,7.65,485,26,TRUE
5577150313,4/30/2016,1,412,6.866666667,433,21,FALSE
5577150313,5/1/2016 ,1,379,6.316666667,398,19,FALSE
5577150313,5/2/2016 ,2,525,8.75,553,28,TRUE
5577150313,5/3/2016 ,1,508,8.466666667,543,35,TRUE
5577150313,5/4/2016 ,1,603,10.05,634,31,FALSE
5577150313,5/5/2016 ,1,74,1.233333333,78,4,FALSE
5577150313,5/10/2016,1,504,8.4,562,58,TRUE
5577150313,5/11/2016,1,431,7.183333333,476,45,TRUE
6117666160,4/16/2016,1,380,6.333333333,398,18,FALSE
6117666160,4/17/2016,2,336,5.6,350,14,FALSE
6117666160,4/18/2016,2,493,8.216666667,510,17,TRUE
6117666160,4/19/2016,1,465,7.75,492,27,TRUE
6117666160,4/20/2016,1,474,7.9,502,28,TRUE
6117666160,4/21/2016,1,508,8.466666667,550,42,TRUE
6117666160,4/22/2016,1,480,8,546,66,TRUE
6117666160,4/23/2016,1,492,8.2,539,47,TRUE
6117666160,4/24/2016,1,353,5.883333333,367,14,FALSE
6117666160,4/27/2016,1,542,9.033333333,557,15,FALSE
6117666160,4/28/2016,1,393,6.55,416,23,FALSE
6117666160,4/29/2016,1,600,10,636,36,FALSE
6117666160,5/1/2016 ,1,507,8.45,575,68,TRUE
6117666160,5/5/2016 ,1,392,6.533333333,415,23,FALSE
6117666160,5/6/2016 ,2,658,10.96666667,698,40,FALSE
6117666160,5/7/2016 ,2,498,8.3,507,9,TRUE
6117666160,5/8/2016 ,1,555,9.25,603,48,FALSE
6117666160,5/9/2016 ,1,492,8.2,522,30,TRUE
6775888955,4/13/2016,1,235,3.916666667,260,25,FALSE
6775888955,4/14/2016,1,423,7.05,441,18,TRUE
6775888955,4/15/2016,1,391,6.516666667,406,15,FALSE
6962181067,4/12/2016,1,366,6.1,387,21,FALSE
6962181067,4/13/2016,3,630,10.5,679,49,FALSE
6962181067,4/14/2016,2,508,8.466666667,535,27,TRUE
6962181067,4/15/2016,1,370,6.166666667,386,16,FALSE
6962181067,4/16/2016,1,357,5.95,366,9,FALSE
6962181067,4/17/2016,1,427,7.116666667,446,19,TRUE
6962181067,4/18/2016,1,442,7.366666667,458,16,TRUE
6962181067,4/19/2016,1,476,7.933333333,535,59,TRUE
6962181067,4/20/2016,1,418,6.966666667,424,6,FALSE
6962181067,4/21/2016,1,451,7.516666667,457,6,TRUE
6962181067,4/22/2016,1,425,7.083333333,435,10,TRUE
6962181067,4/23/2016,1,528,8.8,546,18,TRUE
6962181067,4/24/2016,1,511,8.516666667,514,3,TRUE
6962181067,4/25/2016,1,400,6.666666667,415,15,FALSE
6962181067,4/26/2016,1,441,7.35,446,5,TRUE
6962181067,4/27/2016,1,455,7.583333333,467,12,TRUE
6962181067,4/28/2016,1,440,7.333333333,453,13,TRUE
6962181067,4/29/2016,1,433,7.216666667,447,14,TRUE
6962181067,4/30/2016,1,422,7.033333333,424,2,TRUE
6962181067,5/1/2016 ,1,411,6.85,426,15,FALSE
6962181067,5/2/2016 ,1,466,7.766666667,482,16,TRUE
6962181067,5/3/2016 ,1,394,6.566666667,418,24,FALSE
6962181067,5/4/2016 ,1,442,7.366666667,455,13,TRUE
6962181067,5/5/2016 ,1,467,7.783333333,491,24,TRUE
6962181067,5/6/2016 ,1,443,7.383333333,462,19,TRUE
6962181067,5/7/2016 ,1,298,4.966666667,334,36,FALSE
6962181067,5/8/2016 ,1,541,9.016666667,569,28,FALSE
6962181067,5/9/2016 ,1,489,8.15,497,8,TRUE
6962181067,5/10/2016,1,469,7.816666667,481,12,TRUE
6962181067,5/11/2016,1,452,7.533333333,480,28,TRUE
6962181067,5/12/2016,1,516,8.6,535,19,TRUE
7007744171,4/16/2016,1,79,1.316666667,82,3,FALSE
7007744171,5/1/2016 ,1,58,0.9666666667,61,3,FALSE
7086361926,4/12/2016,1,514,8.566666667,525,11,TRUE
7086361926,4/13/2016,1,451,7.516666667,465,14,TRUE
7086361926,4/14/2016,1,472,7.866666667,476,4,TRUE
7086361926,4/15/2016,1,377,6.283333333,386,9,FALSE
7086361926,4/19/2016,1,472,7.866666667,483,11,TRUE
7086361926,4/20/2016,1,492,8.2,502,10,TRUE
7086361926,4/21/2016,1,390,6.5,411,21,FALSE
7086361926,4/22/2016,1,428,7.133333333,448,20,TRUE
7086361926,4/24/2016,1,681,11.35,704,23,FALSE
7086361926,4/25/2016,1,446,7.433333333,447,1,TRUE
7086361926,4/26/2016,1,485,8.083333333,500,15,TRUE
7086361926,4/27/2016,1,469,7.816666667,479,10,TRUE
7086361926,4/28/2016,1,354,5.9,367,13,FALSE
7086361926,4/30/2016,1,485,8.083333333,489,4,TRUE
7086361926,5/1/2016 ,1,388,6.466666667,407,19,FALSE
7086361926,5/2/2016 ,1,440,7.333333333,459,19,TRUE
7086361926,5/3/2016 ,1,456,7.6,461,5,TRUE
7086361926,5/4/2016 ,1,420,7,436,16,TRUE
7086361926,5/6/2016 ,1,322,5.366666667,333,11,FALSE
7086361926,5/7/2016 ,1,530,8.833333333,548,18,TRUE
7086361926,5/8/2016 ,1,481,8.016666667,510,29,TRUE
7086361926,5/9/2016 ,1,427,7.116666667,438,11,TRUE
7086361926,5/11/2016,1,451,7.516666667,463,12,TRUE
7086361926,5/12/2016,1,444,7.4,457,13,TRUE
8053475328,4/20/2016,1,486,8.1,493,7,TRUE
8053475328,4/23/2016,1,331,5.516666667,337,6,FALSE
8053475328,5/7/2016 ,1,74,1.233333333,75,1,FALSE
8378563200,4/12/2016,1,338,5.633333333,356,18,FALSE
8378563200,4/13/2016,2,447,7.45,487,40,TRUE
8378563200,4/14/2016,1,424,7.066666667,455,31,TRUE
8378563200,4/15/2016,1,513,8.55,533,20,TRUE
8378563200,4/16/2016,2,611,10.18333333,689,78,FALSE
8378563200,4/17/2016,2,525,8.75,591,66,TRUE
8378563200,4/18/2016,1,398,6.633333333,451,53,FALSE
8378563200,4/19/2016,1,387,6.45,421,34,FALSE
8378563200,4/20/2016,1,381,6.35,409,28,FALSE
8378563200,4/21/2016,1,396,6.6,417,21,FALSE
8378563200,4/22/2016,1,441,7.35,469,28,TRUE
8378563200,4/23/2016,1,565,9.416666667,591,26,FALSE
8378563200,4/24/2016,1,458,7.633333333,492,34,TRUE
8378563200,4/25/2016,1,388,6.466666667,402,14,FALSE
8378563200,4/25/2016,1,388,6.466666667,402,14,FALSE
8378563200,4/26/2016,1,550,9.166666667,584,34,FALSE
8378563200,4/27/2016,1,531,8.85,600,69,TRUE
8378563200,4/28/2016,1,506,8.433333333,556,50,TRUE
8378563200,4/29/2016,1,527,8.783333333,562,35,TRUE
8378563200,4/30/2016,1,468,7.8,555,87,TRUE
8378563200,5/1/2016 ,1,475,7.916666667,539,64,TRUE
8378563200,5/2/2016 ,1,351,5.85,385,34,FALSE
8378563200,5/3/2016 ,1,405,6.75,429,24,FALSE
8378563200,5/4/2016 ,1,441,7.35,477,36,TRUE
8378563200,5/5/2016 ,1,381,6.35,417,36,FALSE
8378563200,5/6/2016 ,1,323,5.383333333,355,32,FALSE
8378563200,5/7/2016 ,2,459,7.65,513,54,TRUE
8378563200,5/8/2016 ,1,545,9.083333333,606,61,FALSE
8378563200,5/9/2016 ,1,359,5.983333333,399,40,FALSE
8378563200,5/10/2016,1,342,5.7,391,49,FALSE
8378563200,5/11/2016,1,368,6.133333333,387,19,FALSE
8378563200,5/12/2016,1,496,8.266666667,546,50,TRUE
8792009665,4/12/2016,1,458,7.633333333,493,35,TRUE
8792009665,4/13/2016,1,531,8.85,552,21,TRUE
8792009665,4/14/2016,1,486,8.1,503,17,TRUE
8792009665,4/15/2016,1,363,6.05,377,14,FALSE
8792009665,4/20/2016,1,528,8.8,547,19,TRUE
8792009665,4/22/2016,1,391,6.516666667,407,16,FALSE
8792009665,4/23/2016,1,339,5.65,360,21,FALSE
8792009665,4/27/2016,1,423,7.05,428,5,TRUE
8792009665,4/28/2016,1,402,6.7,416,14,FALSE
8792009665,4/29/2016,1,398,6.633333333,406,8,FALSE
8792009665,4/30/2016,1,343,5.716666667,360,17,FALSE
8792009665,5/1/2016 ,1,503,8.383333333,527,24,TRUE
8792009665,5/2/2016 ,1,415,6.916666667,423,8,FALSE
8792009665,5/3/2016 ,1,516,8.6,545,29,TRUE
8792009665,5/4/2016 ,1,439,7.316666667,463,24,TRUE
